product_id,product_name,category,price,stock_quantity,reorder_level,supplier_id
1,Just Device,Groceries,143.97,847,114,19
2,And Table,Groceries,150.84,100,99,42
3,Six Table,Clothing,115.05,442,76,23
4,Tax Device,Groceries,121.81,644,84,49
5,Foreign Table,Clothing,402.93,959,86,5
6,Personal Table,Toys,65.51,962,59,39
7,Check Snack,Toys,207.8,891,93,44
8,Teacher Toy,Furniture,273.97,436,189,25
9,Phone Shirt,Toys,51.25,97,91,48
10,Report Toy,Groceries,129.12,575,166,40
11,Amount Snack,Clothing,103.7,631,98,15
12,Sign Toy,Electronics,64.93,768,169,19
13,Ability Snack,Furniture,492.43,755,113,49
14,Local Shirt,Toys,62.0,749,110,18
15,Gun Device,Electronics,351.97,556,134,37
16,Material Snack,Electronics,374.49,451,145,34
17,Everyone Snack,Toys,418.17,332,119,42
18,Guy Device,Clothing,385.16,274,93,19
19,Next Device,Clothing,316.65,26,200,26
20,Sense Snack,Groceries,244.88,675,161,39
21,Throughout Toy,Furniture,488.54,192,118,36
22,True Snack,Toys,127.83,741,200,34
23,Help Snack,Clothing,445.53,357,142,14
24,Way Snack,Toys,373.59,725,77,40
25,Billion Device,Electronics,361.5,818,138,34
26,Investment Toy,Furniture,302.65,834,142,13
27,Scene Table,Groceries,70.88,645,74,15
28,Speak Shirt,Furniture,388.49,540,80,6
29,Determine Table,Clothing,118.22,278,144,5
30,Military Shirt,Toys,291.64,411,110,10
31,Leave Device,Furniture,203.68,521,173,11
32,Require Toy,Groceries,166.32,987,102,6
33,Growth Snack,Electronics,144.33,257,87,22
34,Blue Device,Toys,197.17,525,54,47
35,Within Toy,Groceries,144.23,839,193,38
36,Race Device,Toys,28.68,108,183,3
37,Job Snack,Furniture,282.54,447,120,25
38,National Shirt,Furniture,147.61,394,198,25
39,Necessary Device,Electronics,201.93,298,193,3
40,Among Toy,Clothing,74.6,708,117,3
41,Store Toy,Furniture,335.03,874,50,14
42,Lose Toy,Groceries,446.66,127,92,12
43,Reality Table,Clothing,145.01,804,54,43
44,Hand Snack,Toys,300.66,233,82,22
45,Growth Snack,Electronics,312.47,360,67,23
46,Close Toy,Groceries,94.26,46,161,22
47,Could Device,Toys,74.82,628,83,37
48,After Table,Furniture,421.48,590,165,45
49,Run Device,Clothing,444.85,341,111,20
50,Hard Snack,Furniture,232.71,79,200,7
51,Staff Shirt,Clothing,65.22,191,200,2
52,Poor Snack,Electronics,460.52,677,143,45
53,Ground Device,Toys,427.59,533,116,31
54,Himself Toy,Electronics,77.27,347,105,40
55,Since Shirt,Clothing,415.48,304,155,39
56,Floor Table,Electronics,199.82,460,105,33
57,Former Device,Furniture,160.37,778,173,38
58,Floor Toy,Toys,484.12,67,194,9
59,Value Table,Furniture,392.24,480,199,23
60,Bag Table,Clothing,60.98,545,189,31
61,Law Shirt,Toys,245.24,675,126,20
62,Throw Toy,Furniture,234.41,93,155,47
63,Most Shirt,Toys,45.32,560,93,15
64,Account Toy,Groceries,73.98,758,190,1
65,Sure Toy,Groceries,318.18,309,125,21
66,Like Shirt,Clothing,361.03,334,131,10
67,Environment Table,Groceries,139.02,667,106,33
68,Itself Shirt,Furniture,326.69,133,125,13
69,Actually Toy,Toys,406.06,300,181,6
70,Fact Device,Electronics,291.29,260,174,11
71,Old Shirt,Clothing,409.18,996,130,32
72,Gas Snack,Electronics,444.88,337,93,46
73,Law Device,Clothing,50.08,485,70,37
74,Between Toy,Electronics,341.4,625,190,6
75,Local Snack,Furniture,337.37,861,72,18
76,From Table,Toys,66.81,247,149,33
77,Law Toy,Electronics,419.18,931,90,38
78,Member Toy,Groceries,476.5,516,53,50
79,Final Toy,Electronics,57.01,976,98,22
80,Character Table,Electronics,128.89,612,187,46
81,Alone Toy,Groceries,255.09,691,149,42
82,Notice Toy,Groceries,95.3,866,60,22
83,Give Snack,Electronics,177.21,677,143,31
84,Issue Device,Groceries,360.74,412,189,42
85,Paper Toy,Toys,199.69,212,101,14
86,Thank Shirt,Furniture,117.04,902,83,24
87,Already Snack,Clothing,33.83,692,60,37
88,Throw Device,Clothing,92.67,862,191,9
89,White Table,Electronics,303.99,702,143,47
90,Feeling Toy,Groceries,264.02,441,71,6
91,Really Snack,Toys,225.71,424,160,28
92,Decade Shirt,Electronics,102.79,219,56,37
93,Information Snack,Electronics,25.69,708,65,13
94,Reach Device,Electronics,321.77,623,179,31
95,Scientist Table,Furniture,418.43,902,114,27
96,Story Table,Groceries,196.65,510,116,45
97,Full Table,Toys,280.8,591,122,9
98,Where Toy,Electronics,46.97,848,80,31
99,Start Table,Electronics,408.62,865,147,24
100,Fund Table,Furniture,427.68,61,112,45
101,Mr Snack,Furniture,473.62,944,179,42
102,System Snack,Clothing,329.89,503,138,24
103,Treat Device,Groceries,391.08,122,89,5
104,Suddenly Device,Clothing,493.14,372,183,44
105,Another Device,Groceries,372.15,357,193,34
106,Instead Snack,Toys,437.68,231,51,15
107,So Table,Toys,48.31,723,60,31
108,Executive Table,Groceries,473.54,38,140,26
109,Fast Shirt,Clothing,139.28,863,105,45
110,However Table,Groceries,285.52,43,52,6
111,Whose Snack,Clothing,302.91,182,177,36
112,Against Table,Furniture,432.98,267,161,27
113,Certain Device,Furniture,126.83,10,112,17
114,Mouth Shirt,Clothing,51.87,502,99,9
115,Between Shirt,Electronics,370.32,107,58,31
116,Character Snack,Clothing,486.6,629,198,26
117,Surface Shirt,Toys,448.53,530,137,11
118,Truth Device,Electronics,111.46,570,78,30
119,Player Device,Toys,410.67,530,132,10
120,Wait Toy,Toys,300.92,164,164,21
121,Improve Snack,Toys,270.83,869,181,30
122,Meeting Shirt,Groceries,219.6,642,143,22
123,Town Toy,Clothing,243.05,376,182,49
124,Movie Snack,Toys,52.27,979,131,20
125,Enter Table,Electronics,481.35,512,72,24
126,Coach Snack,Clothing,117.59,825,124,28
127,Still Snack,Clothing,204.18,433,178,2
128,Trouble Table,Electronics,195.65,826,166,18
129,Appear Toy,Toys,464.03,815,138,43
130,Part Device,Clothing,443.29,652,88,26
131,Throughout Snack,Furniture,142.3,248,118,42
132,This Snack,Electronics,214.46,20,66,26
133,Summer Device,Furniture,254.37,320,96,26
134,School Table,Toys,124.46,687,100,23
135,Later Toy,Clothing,18.09,121,61,16
136,Within Toy,Furniture,388.51,26,189,44
137,Least Table,Electronics,195.28,58,71,1
138,Seven Table,Groceries,438.34,649,114,41
139,Base Toy,Toys,455.23,220,61,32
140,Tough Shirt,Toys,404.28,660,154,13
141,Mission Snack,Furniture,454.67,893,59,38
142,South Device,Groceries,63.47,742,196,50
143,Several Snack,Groceries,340.55,652,199,34
144,Building Snack,Furniture,469.86,4,92,37
145,Hold Toy,Clothing,461.31,695,155,21
146,Instead Table,Groceries,262.3,620,99,32
147,Onto Shirt,Furniture,40.73,98,62,21
148,Throughout Snack,Electronics,190.19,451,57,46
149,Simple Device,Clothing,379.16,888,77,45
150,Return Table,Clothing,491.95,39,182,5
151,Region Toy,Groceries,313.14,488,68,36
152,Piece Device,Toys,352.21,536,191,10
153,Security Shirt,Clothing,476.87,25,70,4
154,Manage Snack,Toys,410.73,63,171,48
155,Space Toy,Electronics,408.97,693,126,34
156,Thought Toy,Furniture,357.7,936,133,22
157,Nothing Snack,Groceries,285.8,375,81,39
158,Become Device,Furniture,115.33,633,116,18
159,North Shirt,Electronics,301.38,644,152,43
160,Suddenly Table,Furniture,170.87,53,166,45
