entry_id,product_id,change_quantity,change_type,entry_date
1,62,-20,Sale,2024-08-08
2,122,92,Restock,2024-11-30
3,123,-38,Sale,2025-02-23
4,42,-6,Sale,2024-09-04
5,180,69,Restock,2025-05-17
6,164,-35,Sale,2024-06-28
7,73,66,Restock,2024-07-07
8,76,26,Restock,2025-01-07
9,152,-25,Sale,2024-06-26
10,121,74,Restock,2024-07-15
11,148,8,Restock,2024-10-30
12,69,-4,Sale,2025-03-15
13,16,-27,Sale,2024-07-16
14,70,-46,Sale,2024-12-09
15,102,3,Restock,2024-05-31
16,70,49,Restock,2025-04-14
17,157,67,Restock,2024-06-12
18,29,-37,Sale,2025-04-29
19,14,100,Restock,2024-07-24
20,157,83,Restock,2025-03-31
21,11,-43,Sale,2024-07-03
22,152,66,Restock,2024-11-14
23,65,61,Restock,2025-03-27
24,71,-28,Sale,2024-09-07
25,97,97,Restock,2024-08-10
26,195,-45,Sale,2024-07-24
27,158,-2,Sale,2024-06-07
28,5,19,Restock,2024-11-24
29,157,-26,Sale,2025-04-05
30,43,29,Restock,2025-03-10
31,153,25,Restock,2024-12-08
32,51,51,Restock,2024-08-30
33,169,-6,Sale,2025-03-19
34,170,58,Restock,2024-12-07
35,198,37,Restock,2025-03-21
36,41,24,Restock,2025-02-28
37,106,33,Restock,2024-06-06
38,120,-32,Sale,2024-06-03
39,24,27,Restock,2025-02-21
40,111,70,Restock,2024-11-02
41,16,-49,Sale,2024-12-22
42,142,41,Restock,2024-06-12
43,175,-34,Sale,2024-10-16
44,26,-7,Sale,2024-12-30
45,105,-49,Sale,2025-04-15
46,76,80,Restock,2024-09-15
47,125,61,Restock,2024-07-05
48,169,-18,Sale,2024-08-05
49,174,4,Restock,2024-05-24
50,132,-47,Sale,2024-09-22
51,130,3,Restock,2025-04-15
52,15,93,Restock,2024-11-03
53,124,63,Restock,2025-03-16
54,152,47,Restock,2025-01-08
55,39,57,Restock,2025-05-04
56,8,70,Restock,2024-06-02
57,141,68,Restock,2025-02-19
58,126,85,Restock,2024-11-05
59,56,70,Restock,2024-10-02
60,187,92,Restock,2024-10-09
61,127,29,Restock,2025-04-18
62,193,-27,Sale,2024-05-26
63,148,65,Restock,2024-06-01
64,120,68,Restock,2025-02-21
65,120,62,Restock,2024-12-28
66,187,87,Restock,2025-01-19
67,84,87,Restock,2024-08-07
68,139,88,Restock,2024-12-04
69,91,89,Restock,2024-10-08
70,175,99,Restock,2024-12-28
71,69,5,Restock,2025-01-28
72,19,79,Restock,2025-04-15
73,129,-42,Sale,2024-11-02
74,200,36,Restock,2024-10-24
75,32,-4,Sale,2025-02-10
76,196,33,Restock,2025-04-05
77,165,35,Restock,2024-10-26
78,169,79,Restock,2024-06-19
79,23,39,Restock,2024-06-02
80,140,-16,Sale,2024-09-07
81,182,24,Restock,2024-12-29
82,41,47,Restock,2025-01-30
83,60,87,Restock,2024-06-09
84,146,68,Restock,2024-10-16
85,185,41,Restock,2025-05-01
86,200,-1,Sale,2024-09-13
87,109,70,Restock,2025-01-31
88,76,-2,Sale,2024-12-29
89,157,29,Restock,2024-12-13
90,72,74,Restock,2025-05-19
91,125,90,Restock,2025-01-30
92,2,91,Restock,2025-02-21
93,11,59,Restock,2024-05-31
94,112,5,Restock,2025-03-16
95,185,27,Restock,2024-05-20
96,179,58,Restock,2024-07-14
97,131,-31,Sale,2024-12-23
98,71,35,Restock,2025-05-15
99,7,-3,Sale,2024-09-20
100,19,27,Restock,2024-06-11
101,194,87,Restock,2024-07-06
102,178,1,Restock,2025-01-28
103,121,30,Restock,2024-09-19
104,64,-31,Sale,2024-12-14
105,143,65,Restock,2024-10-05
106,86,72,Restock,2025-05-08
107,83,39,Restock,2025-05-07
